city,city_ascii,lat,lng
Ludhiāna,Ludhiana,30.91,75.85
Liaoyang,Liaoyang,41.279,123.176
Chengtangcun,Chengtangcun,35.0833,117.15
Rājshāhi,Rajshahi,24.3667,88.6
Balandougou,Balandougou,13.3558,-9.5517
Jiangyin,Jiangyin,31.839,120.295
Valencia,Valencia,39.47,-0.3764
Āgra,Agra,27.18,78.02
León de los Aldama,Leon de los Aldama,21.1167,-101.6833
Puebla,Puebla,19.0333,-98.1833
Columbus,Columbus,39.9862,-82.9855
Yopougon,Yopougon,5.3167,-4.0667
Hebi,Hebi,35.748,114.297
Shīrāz,Shiraz,29.61,52.5425
Madurai,Madurai,9.9252,78.1198
Huzhou,Huzhou,30.8925,120.0875
Tabrīz,Tabriz,38.0814,46.3006
Jamshedpur,Jamshedpur,22.7925,86.1842
Maracaibo,Maracaibo,10.6333,-71.6333
Sofia,Sofia,42.7,23.33
San José,San Jose,9.9325,-84.08
Prayagraj,Prayagraj,25.4358,81.8464
Palembang,Palembang,-2.9861,104.7556
Kawasaki,Kawasaki,35.5167,139.7
Kōbe,Kobe,34.69,135.1956
Jiaxing,Jiaxing,30.747,120.756
Kigali,Kigali,-1.9439,30.0594
Zhangjiajie,Zhangjiajie,29.117,110.479
Baiyin,Baiyin,36.5451,104.1389
Guiping,Guiping,23.4,110.0833
Lianjiang,Lianjiang,21.7333,110.2833
Jianguang,Jianguang,28.1958,115.7833
Yucheng,Yucheng,30.01,103.0415
Xushan,Xushan,30.1667,121.2333
Panama City,Panama City,8.9833,-79.5167
Nneyi-Umuleri,Nneyi-Umuleri,6.3333,6.8333
Leizhou,Leizhou,20.9143,110.0967
Gwangju,Gwangju,35.1653,126.8486
Katako-Kombe,Katako-Kombe,-3.4,24.42
Recife,Recife,-8.05,-34.9
Nāsik,Nasik,19.9975,73.7898
Valencia,Valencia,10.1833,-68
Onitsha,Onitsha,6.1667,6.7833
Abu Dhabi,Abu Dhabi,24.4667,54.3667
Zapopan,Zapopan,20.7167,-103.4
Daejeon,Daejeon,36.35,127.385
Bronx,Bronx,40.8501,-73.8662
Yekaterinburg,Yekaterinburg,56.8356,60.6128
Huazhou,Huazhou,32.688,112.087
Jinhua,Jinhua,29.079,119.647
Kyōto,Kyoto,35.0117,135.7683
Amsterdam,Amsterdam,52.3728,4.8936
Pizhou,Pizhou,34.398,117.89
Kismaayo,Kismaayo,-0.3581,42.5453
Yangshe,Yangshe,31.8767,120.556
Virginia Beach,Virginia Beach,36.7335,-76.0435
Dakar,Dakar,14.6928,-17.4467
Goiânia,Goiania,-16.6667,-49.25
Charlotte,Charlotte,35.2083,-80.8303
Rui’an,Rui'an,27.7833,120.625
Muscat,Muscat,23.6139,58.5922
Kharkiv,Kharkiv,49.9925,36.2311
Wenling,Wenling,28.3667,121.3667
Gaozhou,Gaozhou,21.9244,110.8422
Farīdābād,Faridabad,28.4211,77.3078
Medina,Medina,24.47,39.61
Khulna,Khulna,22.8167,89.55
Ulaanbaatar,Ulaanbaatar,47.9203,106.9172
Fuqing,Fuqing,25.7167,119.3833
Kayseri,Kayseri,38.7225,35.4875
Tel Aviv-Yafo,Tel Aviv-Yafo,32.08,34.78
Wuzhong,Wuzhong,37.9978,106.1986
Pingdu,Pingdu,36.7769,119.9884
Sangereng,Sangereng,-6.2889,106.7181
Yangquan,Yangquan,37.8571,113.5804
Samsun,Samsun,41.2903,36.3336
Yutan,Yutan,28.278,112.552
Copenhagen,Copenhagen,55.6761,12.5683
Helsinki,Helsinki,60.1708,24.9375
Prague,Prague,50.0875,14.4214
Milan,Milan,45.4669,9.19
Auckland,Auckland,-36.8406,174.74
Santiago,Santiago,19.4572,-70.6889
Chizhou,Chizhou,30.6654,117.4916
Makassar,Makassar,-5.1619,119.4362
Liangshi,Liangshi,27.26,111.7442
Porto Alegre,Porto Alegre,-30.0331,-51.23
Huangshan,Huangshan,29.7149,118.3376
Barranquilla,Barranquilla,10.9833,-74.8019
Al Başrah,Al Basrah,30.515,47.81
Benxi,Benxi,41.4868,123.685
Saitama,Saitama,35.8614,139.6456
Guarulhos,Guarulhos,-23.4628,-46.5328
Juárez,Juarez,31.745,-106.485
Mandalay,Mandalay,21.9831,96.0844
Xintai,Xintai,35.909,117.768
Wusong,Wusong,30.9333,117.7667
Calgary,Calgary,51.05,-114.0667
Meerut,Meerut,28.98,77.71
Yushu,Yushu,44.826,126.55
Belém,Belem,-1.4558,-48.5039
Kuaidamao,Kuaidamao,41.7283,125.9397
Huazhou,Huazhou,21.664,110.6396
Baishan,Baishan,41.944,126.4147
Adelaide,Adelaide,-34.9275,138.6
Haicheng,Haicheng,40.8824,122.6852
Milwaukee,Milwaukee,43.0642,-87.9675
Providence,Providence,41.823,-71.4187
Jacksonville,Jacksonville,30.3322,-81.6749
Yicheng,Yicheng,31.36,119.815
Cacuaco,Cacuaco,-8.8053,13.2444
Porto,Porto,41.1621,-8.622
Rosario,Rosario,-32.9575,-60.6394
Canagatan,Canagatan,18,121.8
Soweto,Soweto,-26.2678,27.8585
Bagam,Bagam,1.13,104.0531
Jabalpur,Jabalpur,23.1667,79.9333
Rucheng,Rucheng,32.246,120.591
Huaiyin,Huaiyin,33.5819,119.028
Dublin,Dublin,53.35,-6.2603
Kazan,Kazan,55.7964,49.1089
Dayan,Dayan,26.8552,100.2259
Shaoyang,Shaoyang,32.912,119.8526
Balıkesir,Balikesir,39.6333,27.8833
Comayagüela,Comayaguela,14.098,-87.21
Laiwu,Laiwu,36.1833,117.6667
Sharjah,Sharjah,25.3575,55.3908
Jingling,Jingling,30.664,113.167
Kalyān,Kalyan,19.2502,73.1602
Nizhniy Novgorod,Nizhniy Novgorod,56.3269,44.0075
Yongcheng,Yongcheng,33.9299,116.45
Sumedang,Sumedang,-6.84,107.9208
Cần Thơ,Can Tho,10.0333,105.7833
Brussels,Brussels,50.8467,4.3525
Suwon,Suwon,37.2667,127.0167
Yiwu,Yiwu,29.3069,120.0753
Beidao,Beidao,34.602,105.918
Vasai-Virar,Vasai-Virar,19.3607,72.7956
Xiangshui,Xiangshui,26.5964,104.8314
Dadukou,Dadukou,26.5824,101.7184
Campinas,Campinas,-22.9058,-47.0608
Lingcheng,Lingcheng,22.7,110.35
Shuangyashan,Shuangyashan,46.6762,131.1416
Mombasa,Mombasa,-4.05,39.6667
Najafgarh,Najafgarh,28.6092,76.9798
Xinyu,Xinyu,27.8186,114.9167
Qom,Qom,34.64,50.8764
Hargeysa,Hargeysa,9.5631,44.0675
Baidoa,Baidoa,3.1167,43.65
Zhangye,Zhangye,38.9248,100.4499
Vārānasi,Varanasi,25.3189,83.0128
Hiroshima,Hiroshima,34.3914,132.4519
Chiang Mai,Chiang Mai,18.7953,98.9986
Belgrade,Belgrade,44.82,20.46
Maiduguri,Maiduguri,11.8333,13.15
Chelyabinsk,Chelyabinsk,55.1547,61.3758
Batam Centre,Batam Centre,1.13,104.0531
Rongcheng,Rongcheng,26.218,104.103
